Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Polish (Poland)(pl-PL),Polish (Poland)(pl-PL) Comments
"clemence_name",3046613295104,"","Clémence","","Clémence",""
"dlg1_1_clemence",6854385664,"","Pier… I’m glad to see you. You were chosen to go to war, right?","","Pier… cieszę się, że cię widzę. Zostałeś wylosowany do pójścia na wojne, prawda?",""
"dlg1_2_pier",11203878912,"","Yes. It feels like my whole life until now was just a dream, and only now am I making choices that actually matter.","","Tak. Czuje jakby całe moje dotychczasowe życie było tylko snem i że dopiero teraz podejmuje decyzje które mają na cokolwiek wpływ.",""
"dlg1_3_pier",13217144832,"","The worst part is… I don’t even know how to spend my last day here.","","Najgorsze, że nie wiem jak spędzić mój ostatni dzień tutaj.",""
"dlg1_4_clemence",15410765824,"","If you’d like… we could just talk.","","Jeśli chcesz… możemy po prostu porozmawiać.",""
"dlg1_yes1_pier",355665289216,"","Yes. Talking might quiet my restless thoughts.","","Tak. Rozmowa uciszy moje szalejące myśli.",""
"dlg1_yes2_clemence",444324487168,"","I don’t know if it’s true, but my parents used to say, “Girls line up for a man in uniform.” Hehe.","","Nie wiem czy to prawda, ale moi rodziciele powiadają, że za mundurem panny idą sznurem. He he…",""
"dlg1_yes3_narrator",909925785600,"","Pier and Clémence spent a lovely time together, talking about everything and nothing. ","","Pier i Clémence miło spędzili razem czas. Rozmawiając o wszystkim i o niczym. ",""
"dlg1_yes4_narrator",830724743168,"","At one point, Pier kissed Clémence, who blushed and ran off.","","W pewnym momencie Pier pocałował Clémence która zarumieniła się i uciekła.",""
"dlg1_no_pier",1125622063104,"","Sorry, but I have other things to do.","","Wybacz, ale mam inne rzeczy do zrobienia.",""
