Key,Id,Shared Comments,English (United States)(en-US),English (United States)(en-US) Comments,Polish (Poland)(pl-PL),Polish (Poland)(pl-PL) Comments
Manon_name,,,,,Manon,
dlg1_1_Manon,,,,,"O, dzieñ dobry... Przysi¹g³abym, ¿e dziœ niedziela, a tu znowu poniedzia³ek. Czas  teraz tak szybko leci.",
dlg1_2_pier,,,,,Dzieñ dobry. Coœ pani¹ trapi?,
dlg1_3_Manon,,,,,"Ach, to te rêce... By³y kiedyœ jak skrzyd³a jaskó³ki. Teraz... nici pl¹cz¹ mi siê jak myœli. ",
dlg1_4_Manon,,,,,"Chcia³am skoñczyæ  ten haft dla Adriena, ale sama nie dam ju¿ rady. Odchodzi tak jak ty… No wiesz i chcia³am, by mia³ coœ ode mnie…",
dlg1_no1_pier,,,,,"Przepraszam, ale nie jestem pewien, czy potrafiê haftowaæ.",
dlg1_no2_Manon,,,,,"Och, nie szkodzi, kochaneczku. Czasem obecnoœæ wystarczy. Ale jeœli bêdziesz chcia³, wróæ.",
dlg1_yes1_pier,,,,,"Mogê spróbowaæ, jeœli mnie pani pokieruje.",
dlg1_yes2_Manon,,,,,"Jakie to dobre... Siadaj, tamborek tam. Nawet jeœli nie bêdzie doskona³e – bêdzie nasze.",
dlg1_yes3_narrator,,,,,"Usiad³eœ obok Manon, niebo powoli zaczyna zaczyna³o ju¿ siê œciemniaæ. Przesuwa³eœ ig³ê przez tkaninê. Palce bola³y, ale coœ w tym by³o koj¹cego. Rozmawialiœcie o dawnych czasach, o listach bez odpowiedzi i o ciszy która nasta³a w domu. Kiedy skoñczyliœcie, uœmiechnê³a siê. „Nie chodzi o wzór... tylko o to, ¿eby pamiêta³ w ciê¿kich chwilach.”",
dlg1_no-yes1_Manon,,,,,"Ach, wróci³eœ jednak.",
